entry_id;zeit;o3;no2;pm10;pm25
1;2026-01-01 00:00:00;5.0;33.0;48.0;42.0
2;2026-01-01 01:00:00;;36.0;55.0;48.0
3;2026-01-01 02:00:00;6.0;31.0;57.0;50.0
4;2026-01-01 03:00:00;9.0;;56.0;49.0
5;2026-01-01 04:00:00;8.0;27.0;58.0;51.0
6;2026-01-01 05:00:00;9.0;24.0;60.0;53.0
7;2026-01-01 06:00:00;11.0;26.0;63.0;55.0
8;2026-01-01 07:00:00;11.0;27.0;65.0;57.0
9;2026-01-01 08:00:00;6.0;29.0;67.0;59.0
10;2026-01-01 09:00:00;14.0;26.0;66.0;59.0
11;2026-01-01 10:00:00;21.0;23.0;65.0;58.0
12;2026-01-01 11:00:00;39.0;12.0;68.0;61.0
13;2026-01-01 12:00:00;48.0;9.0;71.0;64.0
14;2026-01-01 13:00:00;49.0;9.0;75.0;67.0
15;2026-01-01 14:00:00;52.0;10.0;75.0;67.0
16;2026-01-01 15:00:00;55.0;10.0;75.0;67.0
17;2026-01-01 16:00:00;49.0;15.0;75.0;67.0
18;2026-01-01 17:00:00;46.0;15.0;;
19;2026-01-01 18:00:00;45.0;14.0;;
20;2026-01-01 19:00:00;38.0;19.0;;
21;2026-01-01 20:00:00;39.0;17.0;;
22;2026-01-01 21:00:00;46.0;13.0;;
23;2026-01-01 22:00:00;52.0;9.0;;
24;2026-01-01 23:00:00;55.0;8.0;;
